Filename:	P:\EPR_user_data\Tarabek\Pracovne\IOCB\IOCB_EPR_Measurements\Violog_wire_Lubos_Magda\Merania_&_Vysledky\Wire_1\TMPhenylDiam_Quant_I\RAW\TMPDA_accu_b.par	 Date: 08/02/2011   Time: 09:52

X [G]	Intensity
3485.370117	-23770794.000000
3485.419922	-17413708.000000
3485.469971	-12309559.000000
3485.520020	-8444935.000000
3485.570068	-5366941.000000
3485.620117	-2872373.750000
3485.669922	-793734.750000
3485.719971	578598.250000
3485.770020	1831753.250000
3485.820068	3908819.250000
3485.870117	6138016.000000
3485.919922	8614751.000000
3485.969971	12741385.000000
3486.020020	18447252.000000
3486.070068	26146076.000000
3486.120117	35626400.000000
3486.169922	46932788.000000
3486.219971	59458828.000000
3486.270020	71876848.000000
3486.320068	83127888.000000
3486.370117	93548360.000000
3486.419922	100076384.000000
3486.469971	100014896.000000
3486.520020	92217576.000000
3486.570068	78840560.000000
3486.620117	62186364.000000
3486.669922	41437104.000000
3486.719971	14033900.000000
3486.770020	-17092784.000000
3486.820068	-46072688.000000
3486.870117	-71073560.000000
3486.919922	-89549248.000000
3486.969971	-101626432.000000
3487.020020	-107169688.000000
3487.070068	-105116056.000000
3487.120117	-93993920.000000
3487.169922	-77808512.000000
3487.219971	-62234120.000000
3487.270020	-49572976.000000
3487.320068	-38583664.000000
3487.370117	-29055686.000000
3487.419922	-20786352.000000
3487.469971	-14618697.000000
3487.520020	-10125472.000000
3487.570068	-7273284.000000
3487.620117	-4536858.000000
3487.669922	-2526814.750000
3487.719971	-965900.750000
3487.770020	882863.250000
3487.820068	2234379.250000
3487.870117	4127813.250000
3487.919922	6785068.000000
3487.969971	9937654.000000
3488.020020	14908811.000000
3488.070068	20831142.000000
3488.120117	28473494.000000
3488.169922	37389176.000000
3488.219971	45603096.000000
3488.270020	53089332.000000
3488.320068	60372108.000000
3488.370117	65952380.000000
3488.419922	66899036.000000
3488.469971	62823116.000000
3488.520020	54585028.000000
3488.570068	44079700.000000
3488.620117	31032508.000000
3488.669922	13894545.000000
3488.719971	-6100598.000000
3488.770020	-26375124.000000
3488.820068	-43373292.000000
3488.870117	-56429484.000000
3488.919922	-64924068.000000
3488.969971	-69080352.000000
3489.020020	-68084576.000000
3489.070068	-61023308.000000
3489.120117	-49176564.000000
3489.169922	-36455988.000000
3489.219971	-24559946.000000
3489.270020	-14393754.000000
3489.320068	-4868778.000000
3489.370117	3516692.250000
3489.419922	9922546.000000
3489.469971	14348202.000000
3489.520020	16407244.000000
3489.570068	17419556.000000
3489.620117	16855250.000000
3489.669922	14064622.000000
3489.719971	8666820.000000
3489.770020	2585263.250000
3489.820068	-4024461.750000
3489.870117	-9916007.000000
3489.919922	-14661668.000000
3489.969971	-18266356.000000
